,total_cases
57302,12.0
28505,317.0
52827,509.0
88,9219.0
28519,1405.0
26712,958.0
33938,6829.0
18451,34.0
48387,17.0
34224,344.0
38820,665.0
26059,86932.0
29779,729.0
33603,3442.0
17969,194.0
41409,1303.0
42976,10287.0
21273,24.0
47870,4300.0
25981,16683.0
13011,2246.0
55791,4462.0
54957,5266.0
57264,12.0
24803,721.0
54731,578347.0
48662,4445.0
8840,1.0
16734,439.0
39529,8751.0
40789,16854.0
35275,490.0
57461,143.0
12412,4996.0
36064,9839.0
26980,15640.0
10257,4599.0
34363,524.0
28017,32118.0
20983,5421.0
42969,5448.0
45985,328144.0
12611,5.0
49213,13979.0
33815,7.0
50827,2306.0
26247,2502.0
50958,5428.0
37092,12858.0
5066,188588.0
13925,8077.0
50332,26559.0
26413,253915.0
8033,10871.0
4653,190.0
13316,2005.0
20665,41725.0
27996,21363.0
85,7654.0
7539,6533968.0
45876,85261.0
55763,19.0
34204,342.0
33330,3948.0
54103,6503.0
13277,1087.0
44807,353.0
30793,47845.0
17636,14.0
21362,28.0
26717,1047.0
45404,732.0
32186,70.0
30779,35717.0
3091,43432.0
51710,48.0
34672,1193255.0
3941,22407.0
24234,10207871.0
15743,111.0
16963,5231.0
34968,97941.0
9773,350971.0
45655,898.0
50438,2289.0
20816,56230.0
30150,1085.0
45954,299914.0
57575,14263.0
26670,684.0
53133,3590.0
39270,13799.0
53110,3461.0
31570,3550.0
42328,7918.0
53762,2120.0
31685,7300.0
48704,4714.0
40420,267.0
39721,49567.0
53663,731.0
47301,2451.0
18315,18.0
3264,2060.0
7317,63100.0
26848,12224.0
46921,140.0
16961,5214.0
13101,10123.0
42376,24687.0
52811,509.0
16836,4821.0
25943,13246.0
34419,1094.0
2797,27565.0
9579,75959.0
50717,10.0
25441,278418.0
1229,6534.0
18695,7351.0
39400,83789.0
8651,413.0
7668,141.0
46303,14618.0
3176,342226.0
7863,152.0
9774,356650.0
51441,31044.0
36019,5408.0
27088,63158.0
9150,391.0
38587,1102.0
19735,3594.0
12162,4891.0
45090,94.0
44805,353.0
35856,13004.0
30168,1424.0
19645,61.0
52933,212.0
24305,8211.0
17447,2133.0
53318,24.0
40886,101745.0
321,53489.0
36056,8610.0
48272,75814.0
7010,24.0
15570,81094.0
59027,19834.0
16777,1664.0
46755,10.0
3383,36578.0
10959,479595.0
51915,8233.0
27143,93098.0
29242,22.0
25201,1016835.0
40490,675.0
42931,262.0
8610,191.0
34279,367.0
9248,7908.0
2140,1296378.0
50002,1854951.0
57191,12.0
49876,386054.0
51778,522.0
32965,8667.0
57214,12.0
7223,12501.0
19696,2708.0
36223,340684.0
27706,121973.0
30923,79.0
49143,11018.0
29522,1173.0
36626,199.0
1530,15008.0
39571,9334.0
51836,3654.0
2929,14749.0
5799,224.0
22252,2385.0
53612,381.0
11204,84494.0
53201,4192.0
6754,3040.0
33943,6928.0
32677,11484.0
44158,5491.0
12902,22563.0
23689,1811.0
3508,220599.0
35580,353.0
26159,327355.0
29912,22983.0
5358,479341.0
56124,16.0
10320,4806.0
39646,16369.0
9704,142879.0
15820,40966.0
48216,6673.0
33599,3204.0
46682,116125.0
32931,4446.0
7834,148.0
26034,48083.0
50217,2880.0
13681,1040.0
25845,73228.0
52168,487.0
38359,5073.0
28376,16425.0
18304,18.0
19026,203116.0
37694,63889.0
41943,3.0
47936,76072.0
33222,2535.0
45754,1009.0
20492,1630596.0
54671,317272.0
16168,47856.0
11405,96398.0
39036,66383.0
53241,1.0
16161,36829.0
473,5750.0
4061,78533.0
49734,119199.0
20818,56981.0
298,49621.0
58505,197.0
38678,1209.0
18481,44.0
58564,1606.0
20135,208638.0
20374,242126.0
12839,20716.0
22011,13167.0
30925,79.0
48850,350879.0
6281,369.0
27148,95868.0
29066,78151.0
23701,1820.0
38534,951.0
25483,442164.0
45630,881.0
2498,154602.0
48316,143679.0
25932,9191.0
53794,2843.0
39907,82743.0
38378,5353.0
1338,52.0
42813,75542.0
25497,489571.0
293,48527.0
30745,12958.0
38606,1152.0
4072,81645.0
16153,26384.0
13522,10242.0
57317,12.0
30456,1306.0
20678,43769.0
39314,19777.0
30419,1181.0
17925,12.0
3501,215483.0
42653,22353.0
11626,862158.0
35514,301.0
45959,306370.0
58523,496.0
47755,1465.0
56533,826.0
4916,67808.0
24411,123503.0
10546,885.0
43127,124425.0
54440,114547.0
47836,2337.0
18123,82662.0
55097,73.0
56266,3303223.0
24526,543975.0
